DATA,CLIENTE,ORIGEM ,DESTINO ,KM,VEÍCULO,KM ROD,R$ MOTORISTA,R$ EMPRESA,VALOR DE NF,DIAS PAG,ICMS,CO,COMISSÃO,RENTABILIDADE,V. COM,SITUAÇÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,,,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
,,,,,,,,,,,,"5,33%",,#DIV/0!, R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 0,00",IMPOSTO, R$  -   ,"6,50%",C.O, R$  -   ,MARGEM,"-R$  17,50 ",ICMS, R$  -   ,MOVA,"0,00133", R$  -   ,MOVA,"0,00%",SEGURO,"0,030%","R$ 0,00",BOLETOS + RCV," R$  17,50 "
